ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,12.820295999999999,7.2510352980269035,15.635922216690734,12.820295999999999,12.820295999999999,-1.6361986675794,-1.6361986675794,-1.6361986675794,-1.217418202191711,-1.217418202191711,-1.217418202191711,-0.4187804653876894,-0.4187804653876894,-0.4187804653876894,0.0,0.0,0.0,11.184097332420599
2023-01-02,12.816423714851483,7.943719923074818,15.743276870540821,12.816423714851483,12.816423714851483,-1.017225180925399,-1.017225180925399,-1.017225180925399,-0.424780113122867,-0.424780113122867,-0.424780113122867,-0.5924450678025317,-0.5924450678025317,-0.5924450678025317,0.0,0.0,0.0,11.799198533926084
2023-01-03,12.812551429702971,7.3787081347006245,15.848308020157454,12.812551429702971,12.812551429702971,-1.0122415969021583,-1.0122415969021583,-1.0122415969021583,-0.2491993420709553,-0.2491993420709553,-0.2491993420709553,-0.7630422548312028,-0.7630422548312028,-0.7630422548312028,0.0,0.0,0.0,11.800309832800814
2023-01-04,12.808679144554453,7.745316512344562,16.360394052236753,12.808679144554453,12.808679144554453,-0.7797997026023092,-0.7797997026023092,-0.7797997026023092,0.14643394069497798,0.14643394069497798,0.14643394069497798,-0.9262336432972873,-0.9262336432972873,-0.9262336432972873,0.0,0.0,0.0,12.028879441952144
2023-01-05,12.80480685940594,8.051026294106986,15.9643490560481,12.80480685940594,12.80480685940594,-0.8363803663055672,-0.8363803663055672,-0.8363803663055672,0.24152015999634752,0.24152015999634752,0.24152015999634752,-1.077900526301915,-1.077900526301915,-1.077900526301915,0.0,0.0,0.0,11.968426493100372
2023-01-06,12.800934574257425,8.832014733739152,16.668185871604052,12.800934574257425,12.800934574257425,0.028021234603518505,0.028021234603518505,0.028021234603518505,1.2422903916742798,1.2422903916742798,1.2422903916742798,-1.214269157070761,-1.214269157070761,-1.214269157070761,0.0,0.0,0.0,12.828955808860943
2023-01-07,12.79706228910891,7.46686701016762,15.972111476967411,12.79706228910891,12.79706228910891,-1.0708712504413596,-1.0708712504413596,-1.0708712504413596,0.261153165017667,0.261153165017667,0.261153165017667,-1.3320244154590264,-1.3320244154590264,-1.3320244154590264,0.0,0.0,0.0,11.726191038667551
2023-01-08,12.793190003960394,6.278093766975843,14.257782487799462,12.793190003960394,12.793190003960394,-2.6458269062625424,-2.6458269062625424,-2.6458269062625424,-1.2174182021908289,-1.2174182021908289,-1.2174182021908289,-1.4284087040717133,-1.4284087040717133,-1.4284087040717133,0.0,0.0,0.0,10.147363097697852
2023-01-09,12.78931771881188,6.906904529362353,14.994618624149403,12.78931771881188,12.78931771881188,-1.9260834845863455,-1.9260834845863455,-1.9260834845863455,-0.4247801131219364,-0.4247801131219364,-0.4247801131219364,-1.5013033714644088,-1.5013033714644088,-1.5013033714644088,0.0,0.0,0.0,10.863234234225533
2023-01-10,12.785445433663366,6.741045344973482,14.935157775402256,12.785445433663366,12.785445433663366,-1.7984898248808978,-1.7984898248808978,-1.7984898248808978,-0.24919934207100317,-0.24919934207100317,-0.24919934207100317,-1.5492904828098946,-1.5492904828098946,-1.5492904828098946,0.0,0.0,0.0,10.986955608782468
